service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2020-COMBNXT-Weekday-01,1,1,1,1,1,0,0,20201127,20201218
2020-COMBNXT-Saturday-02,0,0,0,0,0,1,0,20201128,20201212
2020-COMBNXT-Sunday-02,0,0,0,0,0,0,1,20201129,20201213
2020-COMBNXT-Saturday-03,0,0,0,0,0,1,0,20201219,20201219
2020-COMBNXT-Sunday-03,0,0,0,0,0,0,1,20201220,20210103
2020-COMBXMAS-Weekday-01,1,1,1,1,1,0,0,20201221,20210108
2020-XMAS2020-Weekday-01,1,1,1,1,1,0,0,20201225,20201225
2020-COMBNXT-Sunday-04,0,0,0,0,0,0,1,20210109,20210126
2020-COMBVAC-Weekday-02,1,1,1,1,1,0,0,20210111,20210129
2020-COMBNXT-Saturday-04,0,0,0,0,0,1,0,20210116,20210123
