route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible,bikes_allowed
3-10527,2020-COMBNXT-Weekday-01,41998886-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998887-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998888-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998889-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998890-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998891-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998892-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998893-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998894-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998895-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998896-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998897-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998898-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998899-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998900-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998901-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
3-10527,2020-COMBNXT-Weekday-01,41998902-2020-COMBNXT-Weekday-01,Spence,1,30279,1,1
